Year,County,Party,Partisan_Lean,Candidate,Votes,National_Winner,County_Winner
1856,Cheatham,Democratic,Center-Left,James Buchanan,465,TRUE,TRUE
1856,Cheatham,American Know-Nothing,Center-Right,Millard Fillmore,423,FALSE,FALSE
1868,Cheatham,Republican,Center-Right,Ulysses S Grant,73,TRUE,TRUE
1868,Cheatham,Democratic,Center-Left,Horatio Seymour,30,FALSE,FALSE
1872,Cheatham,Democratic,Center-Left,Horace Greeley,702,FALSE,TRUE
1872,Cheatham,Republican,Center-Right,Ulysses S Grant, 284,TRUE,FALSE
1872,Cheatham,Liberal Republican,Center-Right,Horace Greely, UNKNOWN,FALSE,FALSE
1876,Cheatham,Democratic,Center-Left,Samuel J. Tilden,899,FALSE,TRUE
1876,Cheatham,Republican,Center-Right,Rutherford B. Hayes,267,TRUE,FALSE
1880,Cheatham,Democratic,Center-Left,Winfield S. Hancock,794,FALSE,TRUE
1880,Cheatham,Republican,Center-Right,James A. Garfield,291,TRUE,FALSE
1880,Cheatham,Greenback,Left,James B. Weaver,86,FALSE,FALSE
1884,Cheatham,Democratic,Center-Left,Grover Cleveland,959,TRUE,TRUE
1884,Cheatham,Republican,Center-Right,James G. Blaine,335,FALSE,FALSE
1884,Cheatham,Prohibition,Right,John St. John,UNKNOWN(<= 7),FALSE,FALSE
1884,Cheatham,Greenback,Left,Benjamin Butler,UNKNOWN(<= 7),FALSE,FALSE
1888,Cheatham,Democratic,Center-Left,Grover Cleveland,1063,FALSE,TRUE
1888,Cheatham,Republican,Center-Right,Benjamin Harrison,305,TRUE,FALSE
1888,Cheatham,Prohibition,Right,Clinton Bowen Fisk,40,FALSE,FALSE
1888,Cheatham,Labor,Left,Alson Streeter,0,FALSE,FALSE
1892,Cheatham,Democratic,Center-Left,Grover Cleveland,732,TRUE,TRUE
1892,Cheatham,Republican,Center-Right,Benjamin Harrison,242,FALSE,FALSE
1892,Cheatham,People's Party,Left,James Weaver,554,FALSE,FALSE
1892,Cheatham,Prohibition,Right,John Bidwell,19,FALSE,FALSE
1896,Cheatham,Democratic,Center-Left,William Jennings Bryan,1237,FALSE,TRUE
1896,Cheatham,Republican,Center-Right,William McKinley,496,TRUE,FALSE
1896,Cheatham,Prohibition,Right,Joshua Levering,9,FALSE,FALSE
1896,Cheatham,National Democratic,Center-Right,John M. Palmer,30,FALSE,FALSE
1900,Cheatham,Democratic,Center-Left,William Jennings Bryan,1190,FALSE,TRUE
1900,Cheatham,Republican,Center-Right,William McKinley,440,TRUE,FALSE
1900,Cheatham,Prohibition,Right,John Wooley,24,FALSE,FALSE
1900,Cheatham,Populist,Left,Wharton Barker,3,FALSE,FALSE
1900,Cheatham,Socialist,Left,Eugene Debs,0,FALSE,FALSE
1904,Cheatham,Democratic,Center-Left,Alton B. Parker,1015,FALSE,TRUE
1904,Cheatham,Republican,Center-Right,Theodore Roosevelt,420,TRUE,FALSE
1904,Cheatham,Populist,Left,Thomas E. Watson,8,FALSE,FALSE
1904,Cheatham,Prohibition,Other,Silas C. Swallow,6,FALSE,FALSE
1904,Cheatham,Socialist,Left,Eugene V. Debs,0,FALSE,FALSE
1908,Cheatham,Democratic,Center-Left,William Howard Taft,1206,TRUE,TRUE
1908,Cheatham,Republican,Center-Right,William Jennings Bryan,526,FALSE,FALSE
1908,Cheatham,Socialist,Left,Eugene V. Debs,2,FALSE,FALSE
1908,Cheatham,Populist,Left,Thomas E. Watson,0,FALSE,FALSE
1908,Cheatham,Other,Other,Various,0,FALSE,FALSE
1912,Cheatham,Democratic,Center-Left,Woodrow Wilson,1096,TRUE,TRUE
1912,Cheatham,Republican,Center-Right,William Howard Taft,317,FALSE,FALSE
1912,Cheatham,Progressive,Left,Theodore Roosevelt,123,FALSE,FALSE
1912,Cheatham,Socialist,Left,Eugene V. Debs,23,FALSE,FALSE
1916,Cheatham,Democratic,Center-Left,Woodrow Wilson,1117,TRUE,TRUE
1916,Cheatham,Republican,Center-Right,Charles Evans Hughes,439,FALSE,FALSE
1916,Cheatham,Socialist,Left,Allan L. Benson,6,FALSE,FALSE
1916,Cheatham,Prohibition,Other,Frank Hanly,0,FALSE,FALSE
1920,Cheatham,Republican,Center-Right,Warren G. Harding,569,TRUE,FALSE
1920,Cheatham,Democratic,Center-Left,James M. Cox,1219,FALSE,TRUE
1920,Cheatham,Socialist,Left,Eugene V. Debs,3,FALSE,FALSE
1924,Cheatham,Democratic,Center-Left,John W. Davis,868,FALSE,TRUE
1924,Cheatham,Republican,Center-Right,Calvin Coolidge,181,TRUE,FALSE
1924,Cheatham,Progressive,Left,Robert M. La Follette,14,FALSE,FALSE
1924,Cheatham,Other,Other,Various,3,FALSE,FALSE
1928,Cheatham,Republican,Center-Right,Herbert Hoover,488,TRUE,FALSE
1928,Cheatham,Democratic,Center-Left,Al Smith,913,FALSE,TRUE
1928,Cheatham,Other,Other,Various,2,FALSE,FALSE
1932,Cheatham,Democratic,Center-Left,Franklin D. Roosevelt,1370,TRUE,TRUE
1932,Cheatham,Republican,Center-Right,Herbert Hoover,180,FALSE,FALSE
1932,Cheatham,Prohibition,Other,William D. Upshaw,3,FALSE,FALSE
1932,Cheatham,Socialist,Left,Norman Thomas,7,FALSE,FALSE
1932,Cheatham,Communist,Far-Left,William Z. Foster,2,FALSE,FALSE
1936,Cheatham,Democratic,Center-Left,Franklin D. Roosevelt,1352,TRUE,TRUE
1936,Cheatham,Republican,Center-Right,Alf Landon,183,FALSE,FALSE
1936,Cheatham,Other,Other,Various,8,FALSE,FALSE
1940,Cheatham,Democratic,Center-Left,Franklin D. Roosevelt,1932,TRUE,TRUE
1940,Cheatham,Republican,Center-Right,Wendell Willkie,331,FALSE,FALSE
1940,Cheatham,Prohibition,Other,Roger W. Babson,1,FALSE,FALSE
1940,Cheatham,Socialist,Left,Norman Thomas,2,FALSE,FALSE
1944,Cheatham,Democratic,Center-Left,Franklin D. Roosevelt,1398,TRUE,TRUE
1944,Cheatham,Republican,Center-Right,Thomas E. Dewey,216,FALSE,FALSE
1944,Cheatham,Prohibition,Other,Claude A. Watson,2,FALSE,FALSE
1944,Cheatham,Socialist,Left,Norman Thomas,0,FALSE,FALSE
1948,Cheatham,Democratic,Center-Left,Harry S. Truman,2731,TRUE,TRUE
1948,Cheatham,Republican,Center-Right,Thomas E. Dewey,193,FALSE,FALSE
1948,Cheatham,States Rights,Far-Right,Strom Thurmond,150,FALSE,FALSE
1948,Cheatham,Progressive,Left,Henry A. Wallace,8,FALSE,FALSE
1948,Cheatham,Socialist,Left,Norman Thomas,1,FALSE,FALSE
1952,Cheatham,Republican,Center-Right,Dwight R. Eisenhower,536,TRUE,FALSE
1952,Cheatham,Democratic,Center-Left,Adlai Stevenson II,2222,FALSE,TRUE
1952,Cheatham,Prohibition,Other,Stuart Hamblen,5,FALSE,FALSE
1952,Cheatham,Progressive,Left,Vincent Hallinan,13,FALSE,FALSE
1956,Cheatham,Republican,Center-Right,Dwight D. Eisenhower,498,TRUE,FALSE
1956,Cheatham,Democratic,Center-Left,Adlai Stevenson II,2297,FALSE,TRUE
1956,Cheatham,States Rights,Far-Right,T. Coleman Andrews,11,FALSE,FALSE
1956,Cheatham,Prohibition,Other,Enoch Holtwick,5,FALSE,FALSE
1960,Cheatham,Republican,Center-Right,Richard Nixon,683,FALSE,FALSE
