year,population,population_interp
1856,7100,7100
1857,NA,7196
1858,NA,7252
1859,NA,7271
1860,7258,7258
1861,NA,7216
1862,NA,7152
1863,NA,7073
1864,NA,6986
1865,NA,6898
1866,NA,6815
1867,NA,6745
1868,NA,6694
1869,NA,6669
1870,6678,6678
1871,NA,6724
1872,NA,6804
1873,NA,6912
1874,NA,7042
1875,NA,7188
1876,NA,7345
1877,NA,7506
1878,NA,7665
1879,NA,7817
1880,7956,7956
1881,NA,8076
1882,NA,8181
1883,NA,8273
1884,NA,8356
1885,NA,8432
1886,NA,8507
1887,NA,8582
1888,NA,8661
1889,NA,8747
1890,8845,8845
1891,NA,8955
1892,NA,9077
1893,NA,9207
1894,NA,9343
1895,NA,9481
1896,NA,9619
1897,NA,9754
1898,NA,9883
1899,NA,10003
1900,10112,10112
1901,NA,10206
1902,NA,10287
1903,NA,10354
1904,NA,10410
1905,NA,10455
1906,NA,10489
1907,NA,10513
1908,NA,10530
1909,NA,10538
1910,10540,10540
1911,NA,10535
1912,NA,10523
1913,NA,10502
1914,NA,10473
1915,NA,10433
1916,NA,10381
1917,NA,10317
1918,NA,10240
1919,NA,10147
1920,10039,10039
1921,NA,9914
1922,NA,9779
1923,NA,9639
1924,NA,9499
1925,NA,9367
1926,NA,9248
1927,NA,9149
1928,NA,9074
1929,NA,9031
1930,9025,9025
1931,NA,9059
1932,NA,9129
1933,NA,9225
1934,NA,9338
1935,NA,9462
1936,NA,9586
1937,NA,9704
1938,NA,9805
1939,NA,9883
1940,9928,9928
1941,NA,9934
1942,NA,9905
1943,NA,9848
1944,NA,9769
1945,NA,9673
1946,NA,9567
1947,NA,9457
1948,NA,9350
1949,NA,9251
1950,9167,9167
1951,NA,9102
1952,NA,9058
1953,NA,9035
1954,NA,9032
1955,NA,9049
1956,NA,9086
1957,NA,9142
1958,NA,9218
1959,NA,9313
1960,9428,9428
1961,NA,9562
1962,NA,9725
1963,NA,9926
1964,NA,10174
1965,NA,10480
1966,NA,10852
1967,NA,11301
1968,NA,11835
1969,NA,12464
1970,13199,13199
1971,14000,14000
1972,14800,14800
1973,15900,15900
1974,16900,16900
1975,17600,17600
1976,18500,18500
1977,19700,19700
1978,20600,20600
1979,21100,21100
1980,21616,21616
1981,21701,21701
1982,21796,21796
1983,22354,22354
1984,22816,22816
1985,23634,23634
1986,24347,24347
1987,25350,25350
1988,25865,25865
1989,26693,26693
1990,27310,27310
1991,27850,27850
1992,28509,28509
1993,29556,29556
1994,30701,30701
1995,31666,31666
1996,32619,32619
1997,33805,33805
1998,34591,34591
1999,35382,35382
2000,35978,35978
2001,36436,36436
2002,36831,36831
2003,37077,37077
2004,37484,37484
2005,37945,37945
2006,38520,38520
2007,39060,39060
2008,39453,39453
2009,39757,39757
2010,39120,39120
2011,38978,38978
2012,39226,39226
2013,39335,39335
2014,39611,39611
2015,39597,39597
2016,39793,39793
2017,40436,40436
2018,40539,40539
2019,40828,40828
2020,41087,41087
2021,41523,41523
